,degs,clos,betw,eigen
entrez gene/locuslink:853969,0.0265,0.3248,0.0003,0.0208
entrez gene/locuslink:854111,0.0531,0.2917,0.0002,0.0059
entrez gene/locuslink:850320,0.0332,0.2938,0.0002,0.0047
entrez gene/locuslink:850829,0.0177,0.2819,0.0001,0.0024
entrez gene/locuslink:853352,0.0066,0.2638,0.0,0.0009
entrez gene/locuslink:856695,0.0221,0.287,0.0001,0.0033
entrez gene/locuslink:856764,0.0111,0.286,0.0,0.0048
entrez gene/locuslink:856393,0.0111,0.283,0.0,0.0029
entrez gene/locuslink:851224,0.0111,0.2846,0.0,0.0037
entrez gene/locuslink:854590,0.0022,0.2218,0.0,0.0002
entrez gene/locuslink:855130,0.0265,0.2807,0.0005,0.0022
entrez gene/locuslink:856612,0.073,0.3217,0.0024,0.015
entrez gene/locuslink:856115,0.0044,0.2552,0.0,0.0007
entrez gene/locuslink:853636,0.0177,0.3091,0.0001,0.0084
entrez gene/locuslink:854864,0.0044,0.2495,0.0,0.0004
entrez gene/locuslink:854657,0.0088,0.2818,0.0001,0.0034
entrez gene/locuslink:856898,0.0155,0.2811,0.0004,0.0028
entrez gene/locuslink:856925,0.0022,0.2358,0.0,0.0002
entrez gene/locuslink:855662,0.0088,0.2746,0.0,0.0022
entrez gene/locuslink:854351,0.0044,0.2411,0.0,0.0003
entrez gene/locuslink:853551,0.0288,0.3074,0.0002,0.0123
entrez gene/locuslink:856221,0.0531,0.3148,0.0003,0.0138
entrez gene/locuslink:851126,0.0265,0.3272,0.0002,0.0244
entrez gene/locuslink:851963,0.0265,0.3066,0.0009,0.0066
entrez gene/locuslink:851838,0.0221,0.3101,0.0001,0.0169
entrez gene/locuslink:853347,0.0177,0.3087,0.0,0.0159
entrez gene/locuslink:850572,0.0243,0.3201,0.0002,0.0171
entrez gene/locuslink:855783,0.0885,0.3438,0.0042,0.0267
entrez gene/locuslink:856351,0.0265,0.3083,0.0002,0.0085
entrez gene/locuslink:855978,0.031,0.2997,0.0005,0.004
entrez gene/locuslink:853522,0.4535,0.3583,0.0163,0.0882
entrez gene/locuslink:852876,0.0221,0.2999,0.0002,0.008
entrez gene/locuslink:855600,0.0022,0.2124,0.0,0.0
entrez gene/locuslink:855080,0.0664,0.2881,0.0002,0.0094
entrez gene/locuslink:856888,0.0553,0.2933,0.0001,0.008
entrez gene/locuslink:850502,0.0398,0.2745,0.0001,0.0045
entrez gene/locuslink:852506,0.0686,0.2934,0.0006,0.0043
entrez gene/locuslink:856191,0.0199,0.2923,0.0002,0.0042
entrez gene/locuslink:856559,0.0664,0.2948,0.0011,0.0055
entrez gene/locuslink:855350,0.0398,0.321,0.0005,0.0153
entrez gene/locuslink:851907,0.0243,0.3177,0.0001,0.0214
entrez gene/locuslink:853875,0.0022,0.2498,0.0,0.0009
entrez gene/locuslink:851956,0.0111,0.2972,0.0,0.007
entrez gene/locuslink:854414,0.0243,0.3159,0.0001,0.0207
entrez gene/locuslink:855343,0.0133,0.3047,0.0001,0.013
entrez gene/locuslink:855878,0.0022,0.2498,0.0,0.0009
entrez gene/locuslink:855444,0.0133,0.3114,0.0001,0.01
entrez gene/locuslink:851825,0.0155,0.3113,0.0001,0.0146
entrez gene/locuslink:855262,0.0022,0.2498,0.0,0.0009
entrez gene/locuslink:850982,0.0243,0.3121,0.0004,0.0168
entrez gene/locuslink:853878,0.0265,0.3243,0.0001,0.018
entrez gene/locuslink:854717,0.031,0.3161,0.0003,0.018
entrez gene/locuslink:853111,0.0044,0.2429,0.0,0.0005
entrez gene/locuslink:855850,0.0044,0.2854,0.0,0.0042
entrez gene/locuslink:856517,0.0265,0.3246,0.0003,0.0219
entrez gene/locuslink:856373,0.0177,0.309,0.0001,0.0154
entrez gene/locuslink:854290,0.0531,0.3266,0.0006,0.0259
entrez gene/locuslink:851536,0.0531,0.3248,0.0009,0.0217
entrez gene/locuslink:855068,0.0288,0.3065,0.0003,0.0139
entrez gene/locuslink:853697,0.0265,0.3166,0.0002,0.0173
entrez gene/locuslink:853710,0.0354,0.323,0.0006,0.0211
entrez gene/locuslink:855434,0.0376,0.3268,0.0002,0.0251
entrez gene/locuslink:852929,0.0221,0.3237,0.0001,0.0225
entrez gene/locuslink:855573,0.0177,0.3192,0.0004,0.0182
entrez gene/locuslink:856481,0.0111,0.2918,0.0,0.0078
entrez gene/locuslink:851089,0.0111,0.3095,0.0001,0.0122
entrez gene/locuslink:852257,0.0487,0.3353,0.0005,0.0296
entrez gene/locuslink:853477,0.0177,0.3075,0.0,0.0123
entrez gene/locuslink:856624,0.0243,0.3177,0.0001,0.0193
entrez gene/locuslink:856004,0.031,0.3242,0.0007,0.0205
entrez gene/locuslink:854379,0.0487,0.32,0.0013,0.0136
entrez gene/locuslink:855210,0.0177,0.3139,0.0,0.017
entrez gene/locuslink:853914,0.0133,0.3097,0.0,0.0146
entrez gene/locuslink:852801,0.0509,0.3236,0.0005,0.0321
entrez gene/locuslink:852248,0.0177,0.312,0.0001,0.0139
entrez gene/locuslink:855335,0.0553,0.3322,0.001,0.0283
entrez gene/locuslink:850599,0.0221,0.3139,0.0003,0.0173
entrez gene/locuslink:855476,0.0288,0.3223,0.0003,0.0249
entrez gene/locuslink:853027,0.0133,0.3022,0.0,0.0134
entrez gene/locuslink:854076,0.0155,0.3082,0.0002,0.0101
entrez gene/locuslink:853945,0.031,0.3161,0.0002,0.0203
entrez gene/locuslink:852225,0.0354,0.3228,0.0002,0.0234
entrez gene/locuslink:852271,0.0465,0.3289,0.0004,0.0251
entrez gene/locuslink:851442,0.0133,0.2973,0.0,0.0111
entrez gene/locuslink:856282,0.0155,0.3173,0.0001,0.0179
entrez gene/locuslink:855556,0.0066,0.3,0.0,0.0111
entrez gene/locuslink:853293,0.0398,0.3081,0.0012,0.0127
entrez gene/locuslink:855548,0.0133,0.3021,0.0,0.0124
entrez gene/locuslink:850562,0.0487,0.3266,0.001,0.023
entrez gene/locuslink:853818,0.0597,0.3214,0.0005,0.02
entrez gene/locuslink:851739,0.0155,0.3042,0.0001,0.0089
entrez gene/locuslink:852644,0.0044,0.2858,0.0,0.0072
entrez gene/locuslink:854309,0.0509,0.3382,0.0005,0.0338
entrez gene/locuslink:851600,0.0332,0.3342,0.0002,0.0284
entrez gene/locuslink:852912,0.0133,0.3144,0.0,0.0171
entrez gene/locuslink:852153,0.0044,0.2858,0.0,0.0072
entrez gene/locuslink:850550,0.0133,0.3095,0.0,0.013
entrez gene/locuslink:854048,0.0177,0.3229,0.0,0.0202
entrez gene/locuslink:856207,0.031,0.3283,0.0001,0.0275
entrez gene/locuslink:853419,0.0221,0.3155,0.0001,0.0158
entrez gene/locuslink:853738,0.0199,0.3112,0.0,0.0188
entrez gene/locuslink:850816,0.0155,0.3083,0.0005,0.0138
entrez gene/locuslink:851403,0.0863,0.3418,0.0023,0.0402
entrez gene/locuslink:851064,0.0907,0.3298,0.0036,0.0236
entrez gene/locuslink:853919,0.0044,0.2858,0.0,0.0072
entrez gene/locuslink:856285,0.0177,0.3182,0.0,0.0181
entrez gene/locuslink:854971,0.0619,0.3312,0.0005,0.0332
entrez gene/locuslink:854699,0.0376,0.3197,0.0005,0.0262
entrez gene/locuslink:856264,0.0221,0.3143,0.0005,0.0157
entrez gene/locuslink:855269,0.0619,0.3327,0.0016,0.0282
entrez gene/locuslink:850683,0.0398,0.3282,0.0005,0.0243
entrez gene/locuslink:856247,0.0686,0.3285,0.0019,0.0166
entrez gene/locuslink:852915,0.0221,0.3089,0.0005,0.0108
entrez gene/locuslink:856258,0.0332,0.333,0.0002,0.0291
entrez gene/locuslink:853769,0.031,0.3154,0.0001,0.0211
entrez gene/locuslink:851947,0.0265,0.3206,0.0004,0.0163
entrez gene/locuslink:850490,0.0177,0.3161,0.0001,0.0179
entrez gene/locuslink:855364,0.0133,0.322,0.0001,0.0174
entrez gene/locuslink:854962,0.0354,0.3304,0.0002,0.0276
entrez gene/locuslink:850961,0.0354,0.3208,0.0003,0.0204
entrez gene/locuslink:856756,0.0066,0.3,0.0,0.0111
entrez gene/locuslink:856698,0.0177,0.3121,0.0005,0.014
entrez gene/locuslink:855671,0.0221,0.3187,0.0001,0.0209
entrez gene/locuslink:855816,0.0354,0.3346,0.0002,0.0297
entrez gene/locuslink:850652,0.0819,0.3401,0.0014,0.0368
entrez gene/locuslink:851509,0.031,0.3343,0.0002,0.0268
entrez gene/locuslink:856400,0.0265,0.3219,0.0003,0.0171
entrez gene/locuslink:851607,0.0088,0.2984,0.0,0.0114
entrez gene/locuslink:851127,0.0155,0.315,0.0,0.0188
entrez gene/locuslink:851789,0.0177,0.3105,0.0001,0.016
entrez gene/locuslink:850945,0.0133,0.2999,0.0007,0.0113
entrez gene/locuslink:850510,0.0111,0.3026,0.0,0.0121
entrez gene/locuslink:854940,0.0354,0.334,0.0006,0.0252
entrez gene/locuslink:852382,0.0288,0.3134,0.0003,0.0173
entrez gene/locuslink:850494,0.0155,0.3053,0.0001,0.0144
entrez gene/locuslink:852685,0.0553,0.3312,0.0012,0.0214
entrez gene/locuslink:855539,0.0597,0.3328,0.0006,0.037
entrez gene/locuslink:854733,0.0111,0.3105,0.0,0.0158
entrez gene/locuslink:852986,0.0243,0.3017,0.0001,0.0101
entrez gene/locuslink:852636,0.0155,0.3028,0.0001,0.0088
entrez gene/locuslink:855910,0.0044,0.2722,0.0,0.0038
entrez gene/locuslink:851303,0.0199,0.3099,0.0,0.0169
entrez gene/locuslink:855647,0.0133,0.3038,0.0,0.0095
entrez gene/locuslink:855697,0.0044,0.2722,0.0,0.0038
entrez gene/locuslink:855589,0.0044,0.2722,0.0,0.0038
entrez gene/locuslink:851750,0.0088,0.3034,0.0,0.0099
entrez gene/locuslink:855567,0.0265,0.3075,0.0002,0.0104
entrez gene/locuslink:853243,0.0708,0.2948,0.0002,0.0108
entrez gene/locuslink:853686,0.0686,0.3258,0.0009,0.0238
entrez gene/locuslink:856171,0.0177,0.2937,0.0002,0.0074
entrez gene/locuslink:855709,0.0199,0.3076,0.0,0.0135
entrez gene/locuslink:854371,0.0088,0.2819,0.0002,0.0041
entrez gene/locuslink:851712,0.0354,0.3238,0.0002,0.0218
entrez gene/locuslink:854891,0.0221,0.3062,0.0001,0.0115
entrez gene/locuslink:851543,0.0288,0.3134,0.0002,0.0151
entrez gene/locuslink:855884,0.0221,0.3075,0.0001,0.0147
entrez gene/locuslink:852020,0.0177,0.2876,0.0001,0.0044
entrez gene/locuslink:854895,0.0177,0.3132,0.0001,0.0132
entrez gene/locuslink:855586,0.0177,0.3236,0.0,0.0173
entrez gene/locuslink:851812,0.0265,0.3193,0.0003,0.013
entrez gene/locuslink:852459,0.0088,0.2709,0.0,0.0019
entrez gene/locuslink:852448,0.0088,0.3053,0.0,0.0074
entrez gene/locuslink:856123,0.031,0.3133,0.0001,0.0144
entrez gene/locuslink:855953,0.0996,0.3264,0.002,0.0207
entrez gene/locuslink:852532,0.0066,0.2738,0.0,0.0027
entrez gene/locuslink:853396,0.0221,0.3034,0.0001,0.0107
entrez gene/locuslink:856180,0.0088,0.274,0.0,0.0033
entrez gene/locuslink:852729,0.0044,0.2494,0.0,0.0005
entrez gene/locuslink:853559,0.0332,0.3101,0.0002,0.0103
entrez gene/locuslink:853193,0.0619,0.3374,0.001,0.0315
entrez gene/locuslink:853594,0.0155,0.298,0.0001,0.0055
entrez gene/locuslink:853192,0.0221,0.2711,0.0,0.0045
entrez gene/locuslink:853757,0.0022,0.2492,0.0,0.0007
entrez gene/locuslink:853762,0.0066,0.2617,0.0,0.0012
entrez gene/locuslink:1466452,0.0044,0.2691,0.0,0.0019
entrez gene/locuslink:854770,0.0044,0.274,0.0,0.0022
entrez gene/locuslink:852353,0.0022,0.2492,0.0,0.0007
entrez gene/locuslink:856453,0.0332,0.2962,0.0004,0.0087
entrez gene/locuslink:855400,0.0066,0.2922,0.0,0.0039
entrez gene/locuslink:853250,0.0177,0.2958,0.0001,0.0049
entrez gene/locuslink:854760,0.0111,0.2807,0.0001,0.0029
entrez gene/locuslink:856512,0.0221,0.3234,0.0007,0.013
entrez gene/locuslink:856922,0.0044,0.2705,0.0,0.0024
entrez gene/locuslink:855602,0.0597,0.316,0.0016,0.0101
entrez gene/locuslink:854957,0.1637,0.3443,0.0063,0.035
entrez gene/locuslink:853732,0.0111,0.3059,0.0,0.0112
entrez gene/locuslink:852861,0.0332,0.3167,0.0006,0.0127
entrez gene/locuslink:853262,0.0111,0.2794,0.0007,0.0028
entrez gene/locuslink:854758,0.0177,0.3084,0.0002,0.009
entrez gene/locuslink:855964,0.0288,0.3155,0.0003,0.0125
entrez gene/locuslink:850748,0.0066,0.2925,0.0001,0.0058
entrez gene/locuslink:852286,0.0022,0.2637,0.0,0.0018
entrez gene/locuslink:854805,0.0155,0.311,0.0001,0.0123
entrez gene/locuslink:851157,0.0111,0.2865,0.0,0.0047
entrez gene/locuslink:850717,0.0133,0.3071,0.0,0.0118
entrez gene/locuslink:852215,0.0155,0.3097,0.0004,0.0126
entrez gene/locuslink:852691,0.0177,0.3131,0.0001,0.0117
entrez gene/locuslink:850438,0.0133,0.2815,0.0002,0.003
entrez gene/locuslink:856885,0.0044,0.2708,0.0,0.0023
entrez gene/locuslink:852467,0.0155,0.2946,0.0001,0.0057
entrez gene/locuslink:851016,0.0088,0.2944,0.0,0.0056
entrez gene/locuslink:853706,0.0066,0.2769,0.0001,0.0023
entrez gene/locuslink:852844,0.0088,0.3037,0.0,0.0083
entrez gene/locuslink:856865,0.0288,0.303,0.0001,0.0214
entrez gene/locuslink:851582,0.0022,0.2637,0.0,0.0018
entrez gene/locuslink:850749,0.0221,0.3001,0.0,0.0089
entrez gene/locuslink:853457,0.0288,0.3164,0.0005,0.0188
entrez gene/locuslink:852476,0.0575,0.3164,0.0012,0.009
entrez gene/locuslink:853801,0.0243,0.3138,0.0001,0.0164
entrez gene/locuslink:853949,0.0022,0.2637,0.0,0.0018
entrez gene/locuslink:856516,0.0044,0.268,0.0,0.002
entrez gene/locuslink:855947,0.0022,0.2637,0.0,0.0018
entrez gene/locuslink:856147,0.0265,0.312,0.0002,0.0111
entrez gene/locuslink:854978,0.0487,0.3087,0.0015,0.0308
entrez gene/locuslink:856588,0.0199,0.3138,0.0001,0.0142
entrez gene/locuslink:850626,0.0044,0.264,0.0003,0.0018
entrez gene/locuslink:854759,0.0066,0.2715,0.0,0.0028
entrez gene/locuslink:853708,0.0066,0.2709,0.0003,0.0023
entrez gene/locuslink:853730,0.0044,0.2877,0.0,0.0039
entrez gene/locuslink:856198,0.0332,0.3229,0.0004,0.0197
entrez gene/locuslink:853305,0.0044,0.2776,0.0,0.0039
entrez gene/locuslink:854259,0.0199,0.3115,0.0002,0.0136
entrez gene/locuslink:856793,0.0243,0.3158,0.0002,0.0119
entrez gene/locuslink:854877,0.0288,0.3095,0.0001,0.0141
entrez gene/locuslink:854403,0.0022,0.2472,0.0,0.0009
entrez gene/locuslink:855622,0.0708,0.3232,0.001,0.0207
entrez gene/locuslink:856365,0.0177,0.2891,0.0002,0.0061
entrez gene/locuslink:854671,0.042,0.3262,0.0004,0.0229
entrez gene/locuslink:851010,0.0111,0.2878,0.0,0.005
entrez gene/locuslink:853135,0.0066,0.2728,0.0,0.003
entrez gene/locuslink:853557,0.0133,0.298,0.0001,0.0061
entrez gene/locuslink:853607,0.0111,0.2788,0.0,0.0039
entrez gene/locuslink:855222,0.0398,0.3237,0.0003,0.0235
entrez gene/locuslink:853717,0.0221,0.2827,0.0001,0.0039
entrez gene/locuslink:852588,0.0133,0.284,0.0,0.0063
entrez gene/locuslink:853336,0.031,0.3049,0.0004,0.0104
entrez gene/locuslink:850469,0.0177,0.2902,0.0005,0.0047
entrez gene/locuslink:853217,0.0022,0.2472,0.0,0.0009
entrez gene/locuslink:855236,0.042,0.3253,0.0005,0.0174
entrez gene/locuslink:853972,0.0288,0.317,0.0002,0.0112
entrez gene/locuslink:855926,0.0088,0.2831,0.0,0.0031
entrez gene/locuslink:850687,0.0022,0.2402,0.0,0.0003
entrez gene/locuslink:853333,0.0066,0.289,0.0,0.0054
entrez gene/locuslink:856464,0.0088,0.2724,0.0001,0.0019
entrez gene/locuslink:852135,0.0708,0.308,0.002,0.0096
entrez gene/locuslink:852144,0.0022,0.2402,0.0,0.0003
entrez gene/locuslink:850314,0.0332,0.3163,0.0009,0.0126
entrez gene/locuslink:856361,0.042,0.3327,0.0003,0.0265
entrez gene/locuslink:852065,0.0066,0.2734,0.0,0.0022
entrez gene/locuslink:853995,0.0243,0.3099,0.0001,0.0109
entrez gene/locuslink:855304,0.0066,0.2935,0.0,0.0058
entrez gene/locuslink:853152,0.0022,0.2539,0.0,0.001
entrez gene/locuslink:852779,0.0199,0.282,0.0001,0.0031
entrez gene/locuslink:856261,0.0155,0.3168,0.0001,0.0109
entrez gene/locuslink:852223,0.0265,0.3209,0.0008,0.0139
entrez gene/locuslink:853781,0.0111,0.3014,0.0002,0.0057
entrez gene/locuslink:851698,0.0221,0.3286,0.0002,0.0161
entrez gene/locuslink:856532,0.0133,0.3027,0.0,0.0082
entrez gene/locuslink:851381,0.0199,0.3141,0.0002,0.0121
entrez gene/locuslink:851199,0.0066,0.2908,0.0,0.0041
entrez gene/locuslink:853471,0.0111,0.3016,0.0001,0.0067
entrez gene/locuslink:852798,0.0044,0.2621,0.0,0.0013
entrez gene/locuslink:854135,0.0022,0.2539,0.0,0.001
entrez gene/locuslink:852562,0.0022,0.2539,0.0,0.001
entrez gene/locuslink:855110,0.0066,0.2768,0.0,0.0028
entrez gene/locuslink:850943,0.0177,0.2975,0.0003,0.0069
entrez gene/locuslink:853274,0.0686,0.3091,0.001,0.0122
entrez gene/locuslink:856608,0.0022,0.2361,0.0,0.0003
entrez gene/locuslink:851570,0.0088,0.2729,0.0,0.0036
entrez gene/locuslink:850463,0.0066,0.2804,0.0,0.0028
entrez gene/locuslink:851585,0.0111,0.2701,0.0,0.002
entrez gene/locuslink:854027,0.0066,0.2934,0.0,0.0052
entrez gene/locuslink:855509,0.0088,0.283,0.0,0.0034
entrez gene/locuslink:854359,0.0111,0.2832,0.0,0.0026
entrez gene/locuslink:850698,0.0066,0.2739,0.0,0.0019
entrez gene/locuslink:853019,0.031,0.2849,0.0001,0.0046
entrez gene/locuslink:855142,0.0066,0.2727,0.0,0.0031
entrez gene/locuslink:854513,0.0332,0.3168,0.0002,0.0132
entrez gene/locuslink:850892,0.0111,0.2881,0.0,0.0054
entrez gene/locuslink:854339,0.0066,0.2742,0.0003,0.0038
entrez gene/locuslink:854426,0.0111,0.2636,0.0,0.0025
entrez gene/locuslink:854732,0.0133,0.2983,0.0,0.006
entrez gene/locuslink:854753,0.0066,0.291,0.0,0.0054
entrez gene/locuslink:853765,0.0177,0.2985,0.0005,0.0035
entrez gene/locuslink:856788,0.0022,0.2482,0.0,0.0011
entrez gene/locuslink:851002,0.0155,0.3013,0.0002,0.0053
entrez gene/locuslink:854741,0.0066,0.2612,0.0,0.0018
entrez gene/locuslink:851362,0.0155,0.2994,0.0001,0.0097
entrez gene/locuslink:855651,0.0288,0.3132,0.0002,0.0126
entrez gene/locuslink:853975,0.0155,0.2973,0.0002,0.0086
entrez gene/locuslink:855650,0.0265,0.3176,0.0002,0.016
entrez gene/locuslink:850918,0.0133,0.2925,0.0002,0.0067
entrez gene/locuslink:851631,0.0442,0.3075,0.0013,0.0068
entrez gene/locuslink:852523,0.0155,0.2966,0.0,0.0051
entrez gene/locuslink:850435,0.0133,0.3018,0.0001,0.0078
entrez gene/locuslink:856279,0.0907,0.3075,0.0012,0.0149
entrez gene/locuslink:855626,0.0155,0.2921,0.0001,0.0083
entrez gene/locuslink:854573,0.0044,0.2495,0.0,0.001
entrez gene/locuslink:852496,0.0044,0.2496,0.0,0.001
entrez gene/locuslink:855063,0.0066,0.296,0.0,0.0076
entrez gene/locuslink:856338,0.0044,0.2576,0.0,0.0013
entrez gene/locuslink:855529,0.0155,0.294,0.0001,0.0073
entrez gene/locuslink:856327,0.0465,0.2982,0.0007,0.0094
entrez gene/locuslink:855497,0.0066,0.2598,0.0,0.0015
entrez gene/locuslink:853980,0.0066,0.2671,0.0,0.0017
entrez gene/locuslink:856829,0.0022,0.2482,0.0,0.001
entrez gene/locuslink:853146,0.0066,0.2861,0.0,0.005
entrez gene/locuslink:850437,0.031,0.32,0.0001,0.0212
entrez gene/locuslink:851729,0.0177,0.2755,0.0001,0.0015
entrez gene/locuslink:854267,0.0066,0.2609,0.0,0.001
entrez gene/locuslink:2827704,0.0199,0.2665,0.0001,0.0024
entrez gene/locuslink:854767,0.0066,0.2727,0.0,0.0025
entrez gene/locuslink:855775,0.0199,0.3046,0.0001,0.0094
entrez gene/locuslink:851388,0.0442,0.3202,0.0007,0.0122
entrez gene/locuslink:854446,0.0088,0.2526,0.0,0.0011
entrez gene/locuslink:854408,0.0531,0.2995,0.0004,0.0109
entrez gene/locuslink:850453,0.0686,0.3074,0.0005,0.0154
entrez gene/locuslink:856176,0.0066,0.2623,0.0,0.0016
entrez gene/locuslink:850625,0.0111,0.2657,0.0004,0.0019
entrez gene/locuslink:853241,0.0133,0.2925,0.0004,0.0068
entrez gene/locuslink:855682,0.0243,0.3233,0.0003,0.0163
entrez gene/locuslink:852250,0.0088,0.2871,0.0,0.0034
entrez gene/locuslink:855832,0.0044,0.2818,0.0,0.003
entrez gene/locuslink:852568,0.0044,0.2832,0.0,0.0026
entrez gene/locuslink:856249,0.0022,0.2745,0.0,0.0022
entrez gene/locuslink:856066,0.0022,0.2745,0.0,0.0022
entrez gene/locuslink:851529,0.0022,0.2745,0.0,0.0022
entrez gene/locuslink:851560,0.0066,0.2892,0.0,0.0041
entrez gene/locuslink:851768,0.0265,0.3105,0.0002,0.0111
entrez gene/locuslink:851192,0.0111,0.3093,0.0001,0.0115
entrez gene/locuslink:853944,0.0022,0.2745,0.0,0.0022
entrez gene/locuslink:851535,0.0066,0.2895,0.0,0.0046
entrez gene/locuslink:854484,0.0155,0.2948,0.0002,0.0046
entrez gene/locuslink:851326,0.0088,0.303,0.0,0.0089
entrez gene/locuslink:852209,0.0066,0.2861,0.0,0.0031
entrez gene/locuslink:852456,0.2301,0.322,0.0063,0.024
entrez gene/locuslink:852549,0.0155,0.2935,0.0001,0.0058
entrez gene/locuslink:855504,0.0088,0.2902,0.0001,0.004
entrez gene/locuslink:855481,0.0022,0.2745,0.0,0.0022
entrez gene/locuslink:852513,0.0177,0.2893,0.0006,0.0035
entrez gene/locuslink:851937,0.0022,0.2745,0.0,0.0022
entrez gene/locuslink:850609,0.0066,0.2993,0.0,0.0059
entrez gene/locuslink:850951,0.0199,0.2923,0.0001,0.0054
entrez gene/locuslink:856000,0.0044,0.292,0.0,0.0055
entrez gene/locuslink:851220,0.0044,0.2846,0.0,0.0042
entrez gene/locuslink:851307,0.0022,0.2745,0.0,0.0022
entrez gene/locuslink:855254,0.0044,0.2801,0.0,0.0026
entrez gene/locuslink:852418,0.0088,0.2913,0.0001,0.0039
entrez gene/locuslink:853815,0.1018,0.3176,0.0008,0.0166
entrez gene/locuslink:855174,0.0044,0.2757,0.0,0.0023
entrez gene/locuslink:851820,0.0044,0.2941,0.0,0.0043
entrez gene/locuslink:855540,0.0044,0.275,0.0001,0.0022
entrez gene/locuslink:855324,0.0022,0.2745,0.0,0.0022
entrez gene/locuslink:851844,0.0133,0.3128,0.0001,0.0126
entrez gene/locuslink:850496,0.0509,0.2916,0.0006,0.0063
entrez gene/locuslink:852741,0.0022,0.254,0.0,0.0009
entrez gene/locuslink:853572,0.0111,0.2662,0.0001,0.0016
entrez gene/locuslink:856389,0.0376,0.2917,0.0002,0.0056
entrez gene/locuslink:854164,0.0022,0.254,0.0,0.0009
entrez gene/locuslink:855282,0.0088,0.2868,0.0001,0.0041
entrez gene/locuslink:853569,0.0133,0.2926,0.0001,0.0048
entrez gene/locuslink:854775,0.0066,0.2705,0.0,0.0015
entrez gene/locuslink:852899,0.0022,0.254,0.0,0.0009
entrez gene/locuslink:852969,0.0221,0.2936,0.0001,0.008
entrez gene/locuslink:851429,0.0243,0.3055,0.0003,0.0082
entrez gene/locuslink:854419,0.0022,0.254,0.0,0.0009
entrez gene/locuslink:851027,0.0022,0.254,0.0,0.0009
entrez gene/locuslink:851329,0.0177,0.2856,0.0003,0.0032
entrez gene/locuslink:852575,0.0177,0.278,0.0,0.0045
entrez gene/locuslink:856028,0.073,0.3292,0.0016,0.0199
entrez gene/locuslink:852130,0.0066,0.2643,0.0,0.0015
entrez gene/locuslink:850464,0.0111,0.2979,0.0,0.0056
entrez gene/locuslink:851644,0.0066,0.287,0.0,0.0032
entrez gene/locuslink:851226,0.0376,0.2817,0.0001,0.006
entrez gene/locuslink:852689,0.0022,0.26,0.0,0.0014
entrez gene/locuslink:853698,0.0177,0.2764,0.0001,0.0022
entrez gene/locuslink:853508,0.0177,0.2932,0.0001,0.0084
entrez gene/locuslink:850736,0.0022,0.2501,0.0,0.0007
entrez gene/locuslink:856664,0.0199,0.3055,0.0005,0.0078
entrez gene/locuslink:854078,0.0332,0.2883,0.0002,0.005
entrez gene/locuslink:851182,0.0066,0.2905,0.0,0.0052
entrez gene/locuslink:853803,0.0243,0.3058,0.0002,0.01
entrez gene/locuslink:856652,0.0044,0.2642,0.0,0.0023
entrez gene/locuslink:850953,0.0111,0.2618,0.0004,0.0013
entrez gene/locuslink:852911,0.0066,0.26,0.0,0.0012
entrez gene/locuslink:852426,0.0066,0.2631,0.0003,0.0014
entrez gene/locuslink:850441,0.0044,0.2674,0.0,0.0026
entrez gene/locuslink:856541,0.0111,0.2556,0.0004,0.0013
entrez gene/locuslink:856521,0.0177,0.2809,0.0001,0.0018
entrez gene/locuslink:855937,0.0133,0.2883,0.0,0.0038
entrez gene/locuslink:852205,0.0044,0.2515,0.0,0.0007
entrez gene/locuslink:853782,0.0531,0.3105,0.0012,0.0154
entrez gene/locuslink:852891,0.0155,0.3009,0.0002,0.0083
entrez gene/locuslink:855125,0.0088,0.2954,0.0,0.0068
entrez gene/locuslink:854921,0.0111,0.3053,0.0,0.0086
entrez gene/locuslink:855747,0.0155,0.3164,0.0002,0.0124
entrez gene/locuslink:851515,0.0044,0.2672,0.0,0.0026
entrez gene/locuslink:850621,0.0088,0.294,0.0,0.0074
entrez gene/locuslink:852454,0.0155,0.2933,0.0,0.009
entrez gene/locuslink:853272,0.0243,0.3135,0.0003,0.0126
entrez gene/locuslink:851113,0.0199,0.2821,0.0002,0.0037
entrez gene/locuslink:853065,0.0088,0.271,0.0,0.0028
entrez gene/locuslink:851714,0.0022,0.2638,0.0,0.0021
entrez gene/locuslink:852926,0.0199,0.3009,0.0002,0.0101
entrez gene/locuslink:856188,0.0155,0.3002,0.0,0.008
entrez gene/locuslink:852316,0.0199,0.2956,0.0001,0.0079
entrez gene/locuslink:856728,0.0044,0.2833,0.0,0.0054
entrez gene/locuslink:855105,0.0155,0.3041,0.0,0.0124
entrez gene/locuslink:852813,0.0066,0.2865,0.0,0.0055
entrez gene/locuslink:853375,0.0199,0.311,0.0002,0.0133
entrez gene/locuslink:854384,0.0288,0.3145,0.0002,0.0111
entrez gene/locuslink:850630,0.0066,0.286,0.0,0.0066
entrez gene/locuslink:856417,0.0111,0.2777,0.0,0.0027
entrez gene/locuslink:856811,0.0066,0.286,0.0,0.0066
entrez gene/locuslink:853319,0.0044,0.2669,0.0,0.0022
entrez gene/locuslink:853768,0.0199,0.2996,0.0001,0.0056
entrez gene/locuslink:853651,0.0088,0.2705,0.0004,0.0034
entrez gene/locuslink:856026,0.0022,0.2638,0.0,0.0021
entrez gene/locuslink:850387,0.0022,0.2638,0.0,0.0021
entrez gene/locuslink:853182,0.0066,0.286,0.0,0.0066
