,degs,clos,betw,eigen
entrez gene/locuslink:853728,0.0376,0.2957,0.0006,0.0044
entrez gene/locuslink:855942,0.0398,0.2932,0.0005,0.0066
entrez gene/locuslink:852751,0.0044,0.2477,0.0,0.0004
entrez gene/locuslink:850738,0.0044,0.2305,0.0,0.0002
entrez gene/locuslink:851676,0.0885,0.3287,0.0021,0.0221
entrez gene/locuslink:855686,0.0111,0.3053,0.0002,0.0056
entrez gene/locuslink:852237,0.0265,0.2833,0.0003,0.0091
entrez gene/locuslink:855077,0.0288,0.2867,0.0005,0.0045
entrez gene/locuslink:856458,0.0531,0.3047,0.0004,0.0101
entrez gene/locuslink:853057,0.0066,0.2716,0.0,0.003
entrez gene/locuslink:855381,0.0022,0.2229,0.0,0.0001
entrez gene/locuslink:854191,0.0221,0.291,0.0001,0.0043
entrez gene/locuslink:853439,0.0221,0.2925,0.0001,0.0044
entrez gene/locuslink:851029,0.073,0.3354,0.0008,0.0368
entrez gene/locuslink:852869,0.0044,0.2661,0.0,0.0014
entrez gene/locuslink:854450,0.031,0.3064,0.0003,0.0113
entrez gene/locuslink:854026,0.0288,0.3019,0.0002,0.0083
entrez gene/locuslink:855993,0.0111,0.2884,0.0001,0.0028
entrez gene/locuslink:851158,0.0177,0.3079,0.0002,0.0068
entrez gene/locuslink:856360,0.031,0.2863,0.0008,0.0062
entrez gene/locuslink:851306,0.0708,0.3306,0.0015,0.027
entrez gene/locuslink:851655,0.0133,0.2871,0.0001,0.0037
entrez gene/locuslink:852762,0.0398,0.2898,0.0003,0.0062
entrez gene/locuslink:853422,0.0642,0.3084,0.0017,0.0067
entrez gene/locuslink:851420,0.0088,0.2908,0.0,0.0052
entrez gene/locuslink:852722,0.0022,0.2264,0.0,0.0001
entrez gene/locuslink:853849,0.0221,0.2927,0.0009,0.0045
entrez gene/locuslink:851424,0.0642,0.2864,0.0014,0.0026
entrez gene/locuslink:851545,0.0774,0.3124,0.0027,0.0128
entrez gene/locuslink:851928,0.115,0.3235,0.0056,0.0186
entrez gene/locuslink:850790,0.0398,0.2753,0.0003,0.0024
entrez gene/locuslink:850819,0.0177,0.2687,0.0005,0.0015
entrez gene/locuslink:851083,0.0243,0.2652,0.001,0.001
entrez gene/locuslink:852643,0.0088,0.2771,0.0002,0.0017
entrez gene/locuslink:853357,0.0044,0.2446,0.0,0.0004
